3.107E-08	7.03E-01
3.179E-08	6.86E-01
3.263E-08	6.90E-01
3.351E-08	6.86E-01
3.444E-08	6.59E-01
3.542E-08	6.36E-01
3.646E-08	6.04E-01
3.757E-08	5.70E-01
3.874E-08	5.33E-01
3.999E-08	4.96E-01
4.133E-08	4.65E-01
4.275E-08	4.34E-01
4.428E-08	3.93E-01
4.592E-08	3.47E-01
4.768E-08	2.85E-01
4.959E-08	2.19E-01
5.166E-08	1.61E-01
5.39E-08	1.47E-01
5.635E-08	1.48E-01
5.904E-08	1.48E-01
6.199E-08	1.74E-01
6.525E-08	2.36E-01
6.888E-08	2.63E-01
7.293E-08	2.24E-01
7.749E-08	8.33E-02
8.265E-08	-5.59E-02
8.856E-08	-1.35E-01
9.537E-08	-1.59E-01
1.033E-07	-2.22E-01
1.127E-07	-6.92E-01
0.000000124	-9.04E-01
1.305E-07	-8.57E-01
1.378E-07	-8.04E-01
1.459E-07	-5.82E-01
0.000000155	-4.37E-01
1.653E-07	-3.65E-01
1.771E-07	-2.87E-01
1.907E-07	1.01E-01
2.066E-07	4.98E-01
2.254E-07	1.55E+00
0.000000248	2.69E+00
2.755E-07	3.43E+00
0.00000031	3.64E+00
3.542E-07	3.46E+00
4.133E-07	1.95E+00
4.959E-07	-1.28E+00
6.199E-07	-5.49E+00
8.266E-07	-1.12E+01
1.2399E-06	-1.82E+01
2.4797E-06	-4.76E+01
