3.107E-08	0.08484
3.179E-08	0.1078638
3.263E-08	0.1219308
3.351E-08	0.1168386
3.444E-08	0.115241
3.542E-08	0.1183878
3.646E-08	0.1198054
3.757E-08	0.131176
3.874E-08	0.150348
3.999E-08	0.17732
4.133E-08	0.206608
4.275E-08	0.234264
4.428E-08	0.2632
4.592E-08	0.292446
4.768E-08	0.334712
4.959E-08	0.405768
5.166E-08	0.507718
5.39E-08	0.624232
5.635E-08	0.72703
5.904E-08	0.824148
6.199E-08	0.931756
6.525E-08	0.994422
6.888E-08	1.018616
7.293E-08	1.002988
7.749E-08	1.029366
8.265E-08	1.20681
8.856E-08	1.386164
9.537E-08	1.63056
1.033E-07	1.66896
1.127E-07	1.92582
0.000000124	2.76
1.305E-07	3.1174
1.378E-07	3.5462
1.459E-07	3.8144
0.000000155	4.2228
1.653E-07	4.6136
1.771E-07	5.084
1.907E-07	5.6108
2.066E-07	6.327
2.254E-07	6.7568
0.000000248	6.93
2.755E-07	6.3756
0.00000031	5.5842
3.542E-07	4.5368
4.133E-07	3.6192
4.959E-07	3.96
6.199E-07	7.1016
8.266E-07	13.8684
1.2399E-06	27.1152
2.4797E-06	74.58
